Status Union Concern,System,Scientific name,Species,Synonyms,Kingdom,Phylum,Organism_Type,Common_Name, N (Total),"N [1971,2010]","N [2010, 2015]",Modelling,LivingLab,LL_Country
Candidate,Terrestrial,Acacia mearnsii De Wild.,Acacia mearnsii,,Plantae,Tracheophyta,Tree,Black wattle,32260,13526,18058,Yes,No,N/A
Included,Terrestrial,Acacia saligna (Labill.) H.L.Wendl.,Acacia saligna,,Plantae,Tracheophyta,Tree,Golden wreath wattle,19273,2909,15818,Yes,No,N/A
Candidate,Terrestrial,"Acridotheres cristatellus (Linnaeus, 1758)",Acridotheres cristatellus,,Animalia,Chordata,Bird,Crested myna,173520,28001,145627,Yes,No,N/A
Included,Terrestrial,"Acridotheres tristis Linnaeus, 1766",Acridotheres tristis,,Animalia,Chordata,Bird,Common myna,2879246,261265,2631439,Yes,No,N/A
Included,Terrestrial,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,,Plantae,Tracheophyta,Tree,Tree of heaven,163717,27063,134660,Yes,No,N/A
Included,Terrestrial,"Alopochen aegyptiacus Linnaeus, 1766",Alopochen aegyptiaca,,Animalia,Chordata,Bird,Egyptian goose,1847435,236224,1655585,Yes,No,N/A
Included,Terrestrial,Andropogon virginicus L.,Andropogon virginicus,,Plantae,Tracheophyta,Grass,Broomsedge bluestem,12066,5511,7231,Yes,No,N/A
Included,Terrestrial,"Arthurdendyus triangulatus (Dendy, 1894) Jones & Gerard (1999)",Arthurdendyus triangulatus,,Animalia,Platyhelminthes,Flatworm,New Zealand flatworm,4909,3453,1541,Yes,No,N/A
Included,Terrestrial,Asclepias syriaca L.,Asclepias syriaca,,Plantae,Tracheophyta,Herbaceous Plant,Common milkweed,94540,3893,89627,Yes,No,N/A
Included,Terrestrial,"Axis axis (Erxleben, 1777)",Axis axis,,Animalia,Chordata,Mammal,Chital,5591,420,5165,Yes,No,N/A
Included,Terrestrial,Baccharis halimifolia L.,Baccharis halimifolia,,Plantae,Tracheophyta,Shrub,Eastern baccharis,36055,3634,32310,Yes,No,N/A
Candidate,Terrestrial,"Bipalium kewense Moseley, 1868",Bipalium kewense,,Animalia,Platyhelminthes,Flatworm,Hammerhead flatworm,4199,105,4128,Yes,No,N/A
Candidate,Terrestrial,"Pachycondyla chinensis (Emery, 1895)",Pachycondyla chinensis,"Brachyponera chinensis (Emery, 1895)",Animalia,Arthropoda,Insect,Asian needle ant,2900,192,2835,Yes,No,N/A
Candidate,Terrestrial,Broussonetia papyrifera (L.) L'Hér ex Vent.,Broussonetia papyrifera,,Plantae,Tracheophyta,Tree,Paper mulberry,52231,6862,39413,Yes,No,N/A
Included,Terrestrial,"Callosciurus erythraeus Pallas, 1779",Callosciurus erythraeus,,Animalia,Chordata,Mammal,Pallas's squirrel,8749,1341,8036,Yes,No,N/A
Included,Terrestrial,"Callosciurus finlaysonii (Horsfield, 1823)",Callosciurus finlaysonii,,Animalia,Chordata,Mammal,Finlayson's squirrel,2426,159,2144,Yes,No,N/A
Included,Terrestrial,Cardiospermum grandiflorum Sw.,Cardiospermum grandiflorum,,Plantae,Tracheophyta,Climber/Vine,Balloon vine,5726,2839,3177,Yes,No,N/A
